title,artist,year,type,latitude,longitude
2000MKT,,2021,Mural/Public Art,39.953490,-75.173600
21st Ward War Memorial,Herman Miller (Architect),1918,Mural/Public Art,40.036750,-75.221000
A Friend,Charles Parks,1976,Mural/Public Art,40.098795,-75.002705
A Quest for Parity: The Octavius V. Catto Memorial,Branly Cadet,2017,Mural/Public Art,39.951775,-75.164100
Abraham Lincoln,Randolph Rogers,1871,Mural/Public Art,39.969550,-75.184500
Aero Memorial,Paul Manship,1948,Mural/Public Art,39.958090,-75.172060
Air,Walker Hancock,1979,Mural/Public Art,39.957300,-75.178650
Alexander von Humboldt,Friedrich Johann Heinrich Drake,1871,Mural/Public Art,39.982325,-75.205850
All Wars Memorial to Colored Soldiers and Sailors,J. Otto Schweizer,1934,Mural/Public Art,39.958320,-75.171800
Alliance,David J. Day,1973,Mural/Public Art,39.913425,-75.222200
Allow Me,"J. Seward Johnson, Jr.",1984,Mural/Public Art,39.950880,-75.164800
Along the Atlantic Flyway,,2014,Mural/Public Art,39.932325,-75.140425
Alpha Sacred Beings,Marianela Fuentes,2022,Mural/Public Art,39.891050,-75.171000
American Song,Eric Parks,1976,Mural/Public Art,39.954160,-75.150810
AMOR,Robert Indiana,1998,Mural/Public Art,39.957220,-75.169275
Andrey Sheptytsky,,1992,Mural/Public Art,39.965875,-75.150300
"ANH: Acro, Nexus, Habile",Robert David Lasus,1980,Mural/Public Art,39.904450,-75.251150
Anthony J. Drexel,Moses Jacob Ezekiel,1904,Mural/Public Art,39.955100,-75.187525
Antillean Couple,Agustin Cardenas,1957,Mural/Public Art,39.953850,-75.194780
Apollo,,1870,Mural/Public Art,39.944100,-75.148300
Arches of Resurgence,Michael Morgan,2013,Mural/Public Art,39.992350,-75.186075
Ars Medendi (cylinder),Jim Sandborn,2009,Mural/Public Art,39.948500,-75.158525
Ars Medendi (screen),Jim Sandborn,2008,Mural/Public Art,39.947850,-75.157775
The Arsenal of Independence,Robert A. M. Stern Architects,2017,Mural/Public Art,39.948525,-75.145935
The Assist,Michael Grothusen,2011,Mural/Public Art,39.982450,-75.138368
Atlas X,Art Brenner,1974,Mural/Public Art,39.888600,-75.232675
Atmosphere and Environment XII,Louise Nevelson,1970,Mural/Public Art,39.950960,-75.189650
Awakening,Ron T. Pierce,1971,Mural/Public Art,39.942700,-75.174050
Balance,Jill Sablosky,2009,Mural/Public Art,39.953550,-75.151600
Barnes Foundation Tabletop Fountain,Laurie Olin,2012,Mural/Public Art,39.959950,-75.172250
Barnes Totem,Ellsworth Kelly,2012,Mural/Public Art,39.960400,-75.172050
Bath,,1500,Mural/Public Art,39.968950,-75.184300
Batter,Joe Brown,1976,Mural/Public Art,39.907350,-75.169800
Battle of Germantown Memorial,Frank Miles Day (Architect),1906,Mural/Public Art,40.036300,-75.175750
The Beacons,Ray King,2000,Mural/Public Art,39.937850,-75.166800
Bear,Dexter Jones,1968,Mural/Public Art,39.978100,-75.152400
Bear,,2008,Mural/Public Art,40.074535,-75.202960
Bear Bench,,2008,Mural/Public Art,40.074375,-75.203490
Bell,Toshiko Takaezu,1986,Mural/Public Art,39.966835,-75.181775
Bell Tower,Nolen and Swinburne (Architects),1965,Mural/Public Art,39.981300,-75.154350
Ben Franklin,George Lundeen,1987,Mural/Public Art,39.952150,-75.196975
Bench and Table (Enlarged Version/Concentric),Scott Burton,2001,Mural/Public Art,39.967100,-75.181450
Bench Form,Thomas Sternal,1990,Mural/Public Art,39.958450,-75.190400
Benjamin Franklin,John J. Boyle,1899,Mural/Public Art,39.951950,-75.193700
Benjamin Franklin in 1723,R. Tait McKenzie,1914,Mural/Public Art,39.950800,-75.191000
Benjamin Franklin's Way,,2009,Mural/Public Art,39.952800,-75.196975
"Benjamin Franklin, Craftsman",Joe Brown,1981,Mural/Public Art,39.953700,-75.163550
Bicentennial Bell,Holzman Iron Studio,2024,Mural/Public Art,39.947350,-75.146575
Billy,Albert Laessle,1914,Mural/Public Art,39.949200,-75.172400
Bird,Harold Kimmelman,1970,Mural/Public Art,40.026400,-75.053750
Birds in Flight,"Joseph J. Greenberg, Jr.",1985,Mural/Public Art,39.950175,-75.142850
The Birth of a Nation,Henry Kreis,1943,Mural/Public Art,39.972750,-75.190490
Bishop Matthew Simpson,Clark Mills,1896,Mural/Public Art,39.994750,-75.217825
Bishop Neumann and Southeast Catholic War Memorials,,,Mural/Public Art,39.927150,-75.162200
Black Forest,Robinson Fredenthal,1983,Mural/Public Art,39.951625,-75.194925
Black Rock Mesa,Glenn Zweygardt,1978,Mural/Public Art,39.979225,-75.156500
Blessed John Neumann C. SS. R.,,,Mural/Public Art,39.97000,-75.144700
Blockhead,Robinson Fredenthal,1990,Mural/Public Art,39.961310,-75.151960
Blossom,Joe Mooney,1994,Mural/Public Art,,
Bolt of Lightning,Isamu Noguchi,1984,Mural/Public Art,39.955450,-75.148750
The Bond,Jim West,2017,Mural/Public Art,39.953510,-75.163150
Boy and Dog,Jim Victor,1982,Mural/Public Art,39.897900,-75.246100
Brick House,Simone Leigh,2019,Mural/Public Art,39.952500,-75.192550
Bronze Figure,Neil Lieberman,1970,Mural/Public Art,39.947500,-75.198425
Brushstroke Group,Roy Lichtenstein,1996,Mural/Public Art,39.952050,-75.168900
Buckley Park Vietnam Memorial,,1973,Mural/Public Art,40.073400,-75.202650
Budd BB1 Pioneer Aircraft,Budd Company,1931,Mural/Public Art,39.958490,-75.172440
Buddha and Dragons,,2010,Mural/Public Art,39.935210,-75.150400
Bull Negative and Bull Positive,Filippo Bermani,,Mural/Public Art,40.083150,-75.219980
The Burghers of Calais,Auguste Rodin,1884,Mural/Public Art,39.961800,-75.173750
Butterfly,Harold Kimmelman,1970,Mural/Public Art,39.943625,-75.145700
Caring,Ken Clark,1982,Mural/Public Art,39.943725,-75.154635
Catharine Thorn Fountain ,,1890,Mural/Public Art,39.945280,-75.179620
Catholic Total Abstinence Union Fountain,Isaac H. Hobbs and Son (Architects),1876,Mural/Public Art,39.982400,-75.219650
Center of Mass I,Ken Clark,1977,Mural/Public Art,40.030100,-75.033425
Central Terrace Medallions,Paul Philippe Cret (Architect),1933,Mural/Public Art,39.973600,-75.190800
Charioteer of Delphi,Nikos Kerlis,1977,Mural/Public Art,39.965400,-75.179275
Charles Allen Smith,Francis P. Moitz,1917,Mural/Public Art,39.994600,-75.118425
