title,artist,year,type,latitude,longitude
1600,Collective Architecture,2021,Wall,39.952710,-75.167325
1822 Chestnut,,1870,Entrance,39.951700,-75.171350
1835 Market Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1986,Wall,39.953600,-75.170825
2000MKT,,2021,Mural/Public Art,39.953490,-75.173600
2100 Mount Vernon Sidewalk Mosaics,Sidewalk,2017,Sidewalk,39.966075,-75.173200
2116 Chestnut Vent Covers,Hartshorne Plunkard Architecture,2013,East facing wall,39.952340,-75.176380
21st Ward War Memorial,Herman Miller (Architect),1918,Mural/Public Art,40.036750,-75.221000
4 Seasons,Mike Smash,2003,Bottom of the North wall,39.938550,-75.163000
4005 Woodland Ave.,Isaiah Zagar,1997,House and driveway walls,39.948685,-75.204890
600 S. Washington Square Gates,Samuel Yellin,1925,Gate,39.946069,-75.151677
743 Spruce Gates,Elizabeth Osborne,1978,Gates,39.946150,-75.154500
A Friend,Charles Parks,1976,Mural/Public Art,40.098795,-75.002705
A Part / Apart,James Fuhrman,2008,Wall,39.944660,-75.153490
A Quest for Parity: The Octavius V. Catto Memorial,Branly Cadet,2017,Mural/Public Art,39.951775,-75.164100
A Tribute to Aviation,Josey Stamm,2004,Interior,39.876205,-75.243865
Abraham Lincoln,Randolph Rogers,1871,Mural/Public Art,39.969550,-75.184500
Acorns and Pinecones,Eric de Jesus,2007,Gateposts,39.919700,-75.182625
Adam,Auguste Rodin,1880,West side of the gateway wall,39.961675,-75.174500
Addams Family Silhouette,Lindsay Falck,2001,Wall,39.953000,-75.194950
Address Fish,,2023,Left side of the entrance,39.971905,-75.127300
Aero Memorial,Paul Manship,1948,Mural/Public Art,39.958090,-75.172060
"Africa, America, Asia, Europe",Alexander Stirling Calder,1920,Gate posts,39.949450,-75.190800
The Age of Bronze,Auguste Rodin,1877,West side of the front wall,39.961875,-75.174050
Air,Walker Hancock,1979,Mural/Public Art,39.957300,-75.178650
The Alchemist,Donald De Lue,1940,Above the entrance,39.950510,-75.192050
Alder Street Garages,Isaiah Zagar,1991,Walls,39.942680,-75.159125
Aldine Hotel Entrance,Addison Hutton (Architect),1895,Entrance,39.951890,-75.172820
Alexander Court Entrance Towers,Robert A. M. Stern (RAMSA),2018,Property entrances,39.958750,-75.166655
Alexander Milne Calder Plaque,,2007,On the wall.,39.953050,-75.163500
Alexander von Humboldt,Friedrich Johann Heinrich Drake,1871,Mural/Public Art,39.982325,-75.205850
All Saints Sculpture Garden,Syd Carpenter,1988,Courtyard,39.952450,-75.201750
All the Light You See,Alicia Eggert,2017,Roof,39.974035,-75.178235
All Wars Memorial to Colored Soldiers and Sailors,J. Otto Schweizer,1934,Mural/Public Art,39.958320,-75.171800
Alliance,David J. Day,1973,Mural/Public Art,39.913425,-75.222200
Allow Me,"J. Seward Johnson, Jr.",1984,Mural/Public Art,39.950880,-75.164800
ALOMH,Tobi Kahn,2024,Entrance,39.950625,-75.158650
Along the Atlantic Flyway,,2014,Mural/Public Art,39.932325,-75.140425
Alpha Sacred Beings,Marianela Fuentes,2022,Mural/Public Art,39.891050,-75.171000
American Song,Eric Parks,1976,Mural/Public Art,39.954160,-75.150810
Amity,David Lee Brown,1977,Former entrance to the Gallery,39.951650,-75.156650
AMOR,Robert Indiana,1998,Mural/Public Art,39.957220,-75.169275
Amtrak Logo,,2013,Plaza,39.955860,-75.182950
Andrey Sheptytsky,,1992,Mural/Public Art,39.965875,-75.150300
Angel Moroni,Karl Quilter,1998,Top of the East tower,39.959040,-75.167960
"ANH: Acro, Nexus, Habile",Robert David Lasus,1980,Mural/Public Art,39.904450,-75.251150
Animals of Fairmount Park,Josey Stamm,2001,Wall,40.026145,-75.225770
Anthony J. Drexel,Moses Jacob Ezekiel,1904,Mural/Public Art,39.955100,-75.187525
Antillean Couple,Agustin Cardenas,1957,Mural/Public Art,39.953850,-75.194780
Apollo,,1870,Mural/Public Art,39.944100,-75.148300
Arabesque and Layout,Cathy Hopkins,1985,Wall,39.945675,-75.149975
Arches of Resurgence,Michael Morgan,2013,Mural/Public Art,39.992350,-75.186075
Ars Medendi (cylinder),Jim Sandborn,2009,Mural/Public Art,39.948500,-75.158525
Ars Medendi (screen),Jim Sandborn,2008,Mural/Public Art,39.947850,-75.157775
The Arsenal of Independence,Robert A. M. Stern Architects,2017,Mural/Public Art,39.948525,-75.145935
Art Deco Flowers,,1932,Front wall,39.967225,-75.162955
Art Museum Cherub,Julian Abele (Architect),1928,Over the back door,39.966075,-75.181700
Art Museum North Faces,Julian Abele (Architect),1928,Walls,39.966200,-75.180150
Art Museum Roof Ornaments,Julian Abele (Architect),1928,Around the roof,39.965000,-75.181015
Art Museum Steps Fountain,Julian Abele (Architect),1928,Along the front steps,39.964950,-75.180100
Art Museum Student Entrance Face,Julian Abele (Architect),1928,Above the student entrance,39.965150,-75.182050
"Art, Science, Industry, Commerce, Agriculture, Mining, and Columbia",Augustus Max Johannes Mueller,1876,On the roof,39.979500,-75.209000
Arts Bank Sign,Mitchell Kurtz Architect PC,1994,On the roof,39.943500,-75.165300
Ascendance,Studio Cooke John,2024,Pavilion,39.957895,-75.195685
The Assist,Michael Grothusen,2011,Mural/Public Art,39.982450,-75.138368
At the Center,Gord Peteran,2011,Delivery doors,39.953380,-75.144890
Athena and Cherubs,,1927,Way over the entrance,39.948200,-75.166160
Athletics,George R. Anthonisen,1983,Wall,39.919940,-75.223150
Atlas X,Art Brenner,1974,Mural/Public Art,39.888600,-75.232675
Atmosphere and Environment XII,Louise Nevelson,1970,Mural/Public Art,39.950960,-75.189650
Aurora Ensemble,Ray King,1989,Entrance,39.947850,-75.160700
Auto Parts Logo,,1923,Wall,39.967250,-75.163810
Autumn Winds,"Messinger, Pietka, Hahn, LLC",2007,Stairs,39.989000,-75.127250
Awakening,Ron T. Pierce,1971,Mural/Public Art,39.942700,-75.174050
Balance,Jill Sablosky,2009,Mural/Public Art,39.953550,-75.151600
Balancing Act,Elsa Tarantal,1984,Plaza,39.956750,-75.201650
Barbelin Hall Gargoyles,Francis Ferdinand Durang (Architect),1927,All over the building,39.995250,-75.237950
Barnes Foundation Tabletop Fountain,Laurie Olin,2012,Mural/Public Art,39.959950,-75.172250
Barnes Totem,Ellsworth Kelly,2012,Mural/Public Art,39.960400,-75.172050
Barry Memorial,,1913,On the wall,39.945700,-75.148325
Barton and Beury Hall Walls,John Botkin,1984,Wall,39.981925,-75.154875
Bas Reliefs,Charles Wallis,1973,Walls,39.944450,-75.150400
Bath,,1500,Mural/Public Art,39.968950,-75.184300
Batter,Joe Brown,1976,Mural/Public Art,39.907350,-75.169800
Battle of Germantown Memorial,Frank Miles Day (Architect),1906,Mural/Public Art,40.036300,-75.175750
Beacon,FKB,2021,Rising through the roof,39.951085,-75.148575
The Beacons,Ray King,2000,Mural/Public Art,39.937850,-75.166800
Bear,Dexter Jones,1968,Mural/Public Art,39.978100,-75.152400
Bear,,2008,Mural/Public Art,40.074535,-75.202960
Bear Bench,,2008,Mural/Public Art,40.074375,-75.203490
Bedell Residence Entrance,Wilson Eyre (Architect),1889,Entrance,39.952310,-75.176975
"Before, Now, Tomorrow",Erica Loustau,2008,Interior,39.959800,-75.224700
Belgravia Lion Heads,,1902,Wall,39.951800,-75.170860
Bell,Toshiko Takaezu,1986,Mural/Public Art,39.966835,-75.181775
Bell Atlantic Tower Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1991,Plaza,39.956000,-75.16900
Bell Tower,Nolen and Swinburne (Architects),1965,Mural/Public Art,39.981300,-75.154350
Bellevue Lions,,1989,Gateposts,39.948750,-75.164605
Ben Franklin,George Lundeen,1987,Mural/Public Art,39.952150,-75.196975
Bench and Table (Enlarged Version/Concentric),Scott Burton,2001,Mural/Public Art,39.967100,-75.181450
Bench Form,Thomas Sternal,1990,Mural/Public Art,39.958450,-75.190400
Beneficial Savings Fund Society Building,Horace Trumbauer (Architect),1916,East wall and North entrance,39.950350,-75.160250
Benjamin Franklin,John J. Boyle,1899,Mural/Public Art,39.951950,-75.193700
Benjamin Franklin,Francesco Lazzarini,1789,Front window,39.947975,-75.163065
Benjamin Franklin,Francesco Lazzarini,1789,Pediment,39.948425,-75.149190
Benjamin Franklin in 1723,R. Tait McKenzie,1914,Mural/Public Art,39.950800,-75.191000
